"StaffID","StaffDept","StaffName","StaffSlots","NotToInvigilate"
"S001","SOCSE","Dr. John Doe",4,""
"S002","SOCSE","Dr. Jane Smith",4,""
"S003","AIE","Dr. Alan Turing",3,"AIE3012"
"S004","AIE","Dr. Ada Lovelace",3,""
"S005","EEE","Dr. Michael Faraday",2,""
"S006","ECE","Dr. James Maxwell",2,""
"S007","SOCSE","Dr. Grace Hopper",4,"CSE3012"
"S008","SOCSE","Dr. Linus Torvalds",3,""
"S009","AIE","Dr. Elon Musk",2,"AIE3032"
"S010","EEE","Dr. Nikola Tesla",2,"EEE3023"
"S011","ECE","Dr. Srinivasa Ramanujan",3,"ECE3021"
"S012","SOCSE","Dr. Tim Berners-Lee",4,""
"S013","SOCSE","Dr. Shafi Goldwasser",3,""
"S014","AIE","Dr. Yann LeCun",4,"AIE3012"
"S015","AIE","Dr. Geoffrey Hinton",3,""
"S016","EEE","Dr. Thomas Edison",2,""
"S017","ECE","Dr. Claude Shannon",3,"ECE3050"
"S018","SOCSE","Dr. Donald Knuth",4,""
"S019","SOCSE","Dr. Barbara Liskov",3,"CSE3043"
"S020","AIE","Dr. Fei-Fei Li",2,"AIE3001"
"S021","EEE","Dr. Charles Wheatstone",2,"EEE3013"
"S022","ECE","Dr. Hedy Lamarr",2,""
"S023","SOCSE","Dr. Bjarne Stroustrup",4,""
"S024","SOCSE","Dr. Dennis Ritchie",4,"CSE3001"
"S025","AIE","Dr. Andrew Ng",3,"AIE3021"
"S026","AIE","Dr. Demis Hassabis",3,""
"S027","EEE","Dr. Subrahmanyan Chandrasekhar",2,""
"S028","ECE","Dr. Guglielmo Marconi",2,"ECE3012"
"S029","SOCSE","Dr. Margaret Hamilton",4,""
"S030","SOCSE","Dr. Leslie Lamport",3,""
"S031","AIE","Dr. Judea Pearl",2,"AIE3032"
"S032","EEE","Dr. Edwin Armstrong",2,"EEE3030"
"S033","ECE","Dr. Dorothy Vaughan",3,""
"S034","SOCSE","Dr. Stephen Cook",4,""
"S035","SOCSE","Dr. Robin Milner",3,""
"S036","AIE","Dr. Geoffrey Zweig",4,"AIE3044"
"S037","AIE","Dr. Daphne Koller",3,""
"S038","EEE","Dr. John Bardeen",2,""
"S039","ECE","Dr. Ivan Sutherland",3,"ECE3049"
"S040","SOCSE","Dr. Brian Kernighan",4,""
"S041","SOCSE","Dr. John McCarthy",4,"CSE3021"
"S042","AIE","Dr. Stuart Russell",3,"AIE3012"
"S043","AIE","Dr. Yoshua Bengio",3,""
"S044","EEE","Dr. Paul Dirac",2,"EEE3041"
"S045","ECE","Dr. Tim Menzies",2,""
"S046","SOCSE","Dr. Edsger Dijkstra",4,""
"S047","SOCSE","Dr. Jean Sammet",3,""
"S048","AIE","Dr. Ilya Sutskever",2,"AIE3021"
"S049","EEE","Dr. Michael Atiyah",2,""
"S050","ECE","Dr. Barbara Oakley",3,"ECE3033"
"S051","SOCSE","Dr. Andrew Tanenbaum",4,""
"S052","SOCSE","Dr. Peter Denning",4,"CSE3013"
"S053","AIE","Dr. Marcus Hutter",3,"AIE3012"
"S054","AIE","Dr. Ruslan Salakhutdinov",3,""
"S055","EEE","Dr. Jagadish Chandra Bose",2,""
"S056","ECE","Dr. Norbert Wiener",2,"ECE3031"
"S057","SOCSE","Dr. Michael Stonebraker",4,""
"S058","SOCSE","Dr. Fernando Corbató",3,""
"S059","AIE","Dr. Anca Dragan",2,"AIE3032"
"S060","EEE","Dr. Oliver Heaviside",2,"EEE3020"
"S061","ECE","Dr. Susan Eggers",3,""
"S062","SOCSE","Dr. Radia Perlman",4,""
"S063","SOCSE","Dr. Niklaus Wirth",3,""
"S064","AIE","Dr. Zoubin Ghahramani",4,"AIE3021"
"S065","AIE","Dr. Richard Sutton",3,""
"S066","EEE","Dr. Erwin Schrödinger",2,""
"S067","ECE","Dr. Amie Wilkinson",3,"ECE3045"
